text,data,bss,dec,hex,filename
56316,0,3388,59704,e938,ADSB_Receive
40868,0,3308,44176,ac90,AFSK_External_Radio
38588,0,3284,41872,a390,AFSK_Imperial_March
37692,0,3284,40976,a010,AFSK_Tone
37788,0,3284,41072,a070,AFSK_Tone_AM
56244,0,3340,59584,e8c0,APRS_MicE
55884,0,3340,59224,e758,APRS_Position
55860,0,3308,59168,e720,APRS_Position_LoRa
39460,0,3300,42760,a708,AX25_Frames
39092,0,3300,42392,a598,AX25_Transmit
39588,0,3308,42896,a790,AX25_Transmit_AFSK
41548,0,3316,44864,af40,BellModem_Transmit
32156,0,3264,35420,8a5c,CC1101_Receive_Address
32020,0,3264,35284,89d4,CC1101_Receive_Blocking
32092,0,3268,35360,8a20,CC1101_Receive_Interrupt
28012,0,3624,31636,7b94,CC1101_Settings
27500,0,3264,30764,782c,CC1101_Transmit_Address
29260,0,3268,32528,7f10,CC1101_Transmit_Blocking
29396,0,3276,32672,7fa0,CC1101_Transmit_Interrupt
38372,0,3336,41708,a2ec,FSK4_Transmit
38404,0,3344,41748,a314,FSK4_Transmit_AFSK
41820,0,3312,45132,b04c,Hellschreiber_Transmit
41908,0,3320,45228,b0ac,Hellschreiber_Transmit_AFSK
36644,0,3304,39948,9c0c,LR11x0_Channel_Activity_Detection_Blocking
36820,0,3308,40128,9cc0,LR11x0_Channel_Activity_Detection_Interrupt
282396,0,3304,285700,45c04,LR11x0_Firmware_Update
38772,0,3304,42076,a45c,LR11x0_GFSK_Modem
38764,0,3384,42148,a4a4,LR11x0_GNSS_Almanac_Update
38668,0,3320,41988,a404,LR11x0_GNSS_Autonomous_Position
38132,0,3308,41440,a1e0,LR11x0_GNSS_Satellites
36348,0,3304,39652,9ae4,LR11x0_LR_FHSS_Modem
39252,0,3312,42564,a644,LR11x0_PingPong
39028,0,3304,42332,a55c,LR11x0_Receive_Blocking
39092,0,3308,42400,a5a0,LR11x0_Receive_Interrupt
38588,0,3308,41896,a3a8,LR11x0_Transmit_Blocking
38700,0,3316,42016,a420,LR11x0_Transmit_Interrupt
40268,0,3304,43572,aa34,LR11x0_WiFi_Scan_Blocking
40332,0,3308,43640,aa78,LR11x0_WiFi_Scan_Interrupt
36468,0,3312,39780,9b64,LR2021_Channel_Activity_Detection_Blocking
36636,0,3316,39952,9c10,LR2021_Channel_Activity_Detection_Interrupt
39100,0,3312,42412,a5ac,LR2021_GFSK_Modem
36684,0,3312,39996,9c3c,LR2021_LR_FHSS_Modem
