text,data,bss,dec,hex,filename
38208,11968,14656,64832,fd40,AFSK_Imperial_March
38208,10944,14656,63808,f940,AFSK_Tone
38208,10944,14656,63808,f940,AFSK_Tone_AM
64832,12992,14720,92544,16980,APRS_MicE
64832,12992,14720,92544,16980,APRS_Position
64832,12992,14688,92512,16960,APRS_Position_LoRa
40256,11968,14688,66912,10560,AX25_Frames
40256,10944,14688,65888,10160,AX25_Transmit
40256,11968,14688,66912,10560,AX25_Transmit_AFSK
41280,11968,14688,67936,10960,BellModem_Transmit
32064,10944,14656,57664,e140,CC1101_Receive_Address
31040,10944,14656,56640,dd40,CC1101_Receive_Blocking
32064,10944,14656,57664,e140,CC1101_Receive_Interrupt
30016,11968,15008,56992,dea0,CC1101_Settings
30016,10944,14656,55616,d940,CC1101_Transmit_Address
32064,10944,14656,57664,e140,CC1101_Transmit_Blocking
33088,10944,14656,58688,e540,CC1101_Transmit_Interrupt
39232,11968,14720,65920,10180,FSK4_Transmit
39232,11968,14720,65920,10180,FSK4_Transmit_AFSK
42304,11968,14688,68960,10d60,Hellschreiber_Transmit
42304,11968,14720,68992,10d80,Hellschreiber_Transmit_AFSK
36160,11968,14688,62816,f560,LR11x0_Channel_Activity_Detection_Blocking
36160,11968,14688,62816,f560,LR11x0_Channel_Activity_Detection_Interrupt
281920,11968,14688,308576,4b560,LR11x0_Firmware_Update
37184,11968,14688,63840,f960,LR11x0_GFSK_Modem
37184,11968,14752,63904,f9a0,LR11x0_GNSS_Almanac_Update
38208,11968,14688,64864,fd60,LR11x0_GNSS_Autonomous_Position
37184,11968,14688,63840,f960,LR11x0_GNSS_Satellites
36160,11968,14688,62816,f560,LR11x0_LR_FHSS_Modem
37184,11968,14688,63840,f960,LR11x0_PingPong
37184,11968,14688,63840,f960,LR11x0_Receive_Blocking
37184,11968,14688,63840,f960,LR11x0_Receive_Interrupt
39232,11968,14688,65888,10160,LR11x0_Transmit_Blocking
38208,11968,14688,64864,fd60,LR11x0_Transmit_Interrupt
38208,11968,14688,64864,fd60,LR11x0_WiFi_Scan_Blocking
38208,11968,14688,64864,fd60,LR11x0_WiFi_Scan_Interrupt
37184,10944,14688,62816,f560,LR2021_Channel_Activity_Detection_Blocking
37184,10944,14688,62816,f560,LR2021_Channel_Activity_Detection_Interrupt
38208,11968,14688,64864,fd60,LR2021_GFSK_Modem
37184,11968,14688,63840,f960,LR2021_LR_FHSS_Modem
38208,11968,14688,64864,fd60,LR2021_PingPong
38208,11968,14688,64864,fd60,LR2021_Receive_Blocking
