time,commit,platform,text,data,bss
2026-02-19 20:37:07 +0000,0d3a63c,CubeCell-CubeCell-CubeCell-Board,63333,144,7812
2026-02-19 20:37:07 +0000,0d3a63c,MegaCore-avr-1281,41836,1030,869
2026-02-19 20:37:07 +0000,0d3a63c,MegaCoreX-megaavr-4809,34338,94,980
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-GenF3,45984,164,3492
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-Nucleo_64,49572,156,3612
2026-02-19 20:37:07 +0000,0d3a63c,SiliconLabs-silabs-xg24explorerkit,932672,3924,257780
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-nrf52-feather52832,54988,536,49128
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-samd-adafruit_feather_m0,59896,656,4620
2026-02-19 20:37:07 +0000,0d3a63c,arduino-avr-mega,35644,884,855
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-envie_m4,141700,12584,119600
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-nano33ble,109864,3624,258520
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed_rp2040-pico,120995,0,40036
2026-02-19 20:37:07 +0000,0d3a63c,arduino-megaavr-uno2018,36030,104,1099
2026-02-19 20:37:07 +0000,0d3a63c,arduino-renesas_uno-minima,75864,616,14164
2026-02-19 20:37:07 +0000,0d3a63c,arduino-sam-arduino_due_x,56316,0,3388
2026-02-19 20:37:07 +0000,0d3a63c,arduino-samd-arduino_zero_native,55732,544,3772
2026-02-19 20:37:07 +0000,0d3a63c,esp32-esp32-esp32,225421,107992,6209
2026-02-19 20:37:07 +0000,0d3a63c,esp8266-esp8266-generic,293083,1552,26744
2026-02-19 20:37:07 +0000,0d3a63c,rp2040-rp2040-rpipico,350056,12032,7592
2026-02-19 20:37:07 +0000,0d3a63c,stm32duino-STM32F1-mapleMini,45572,1272,1832
2026-02-19 20:37:07 +0000,0d3a63c,teensy-avr-teensy41,62784,14016,14784
2026-02-19 17:56:40 +0000,5bb0c62,CubeCell-CubeCell-CubeCell-Board,63333,144,7812
2026-02-19 17:56:40 +0000,5bb0c62,MegaCore-avr-1281,41836,1030,869
2026-02-19 17:56:40 +0000,5bb0c62,MegaCoreX-megaavr-4809,34338,94,980
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-GenF3,45984,164,3492
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-Nucleo_64,49572,156,3612
2026-02-19 17:56:40 +0000,5bb0c62,SiliconLabs-silabs-xg24explorerkit,932672,3924,257780
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-nrf52-feather52832,54988,536,49128
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-samd-adafruit_feather_m0,59896,656,4620
2026-02-19 16:16:56 +0000,5bb0c62,arduino-avr-mega,35644,884,855
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-envie_m4,141700,12584,119600
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-nano33ble,109864,3624,258520
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed_rp2040-pico,120995,0,40036
2026-02-19 17:56:40 +0000,5bb0c62,arduino-megaavr-uno2018,36030,104,1099
2026-02-19 17:56:40 +0000,5bb0c62,arduino-renesas_uno-minima,75864,616,14164
2026-02-19 17:56:40 +0000,5bb0c62,arduino-sam-arduino_due_x,56316,0,3388
2026-02-19 17:56:40 +0000,5bb0c62,arduino-samd-arduino_zero_native,55732,544,3772
2026-02-19 17:56:40 +0000,5bb0c62,esp32-esp32-esp32,225421,107992,6209
2026-02-19 17:56:40 +0000,5bb0c62,esp8266-esp8266-generic,293083,1552,26744
2026-02-19 17:56:40 +0000,5bb0c62,rp2040-rp2040-rpipico,350056,12032,7592
2026-02-19 17:56:40 +0000,5bb0c62,stm32duino-STM32F1-mapleMini,45572,1272,1832
2026-02-19 17:56:40 +0000,5bb0c62,teensy-avr-teensy41,62784,14016,14784
2026-02-28 16:11:09 +0000,83b5dc7,arduino-avr-mega,35644,884,855
2026-02-21 09:58:02 +0000,8566665,arduino-avr-mega,35644,884,855
2026-02-22 10:49:50 +0000,b28aa2b,arduino-avr-mega,35644,884,855
2026-02-19 20:01:24 +0000,f403b9c,arduino-avr-mega,35644,884,855
