time,commit,platform,text,data,bss
2026-02-19 20:37:07 +0000,0d3a63c,CubeCell-CubeCell-CubeCell-Board,45069,136,7732
2026-02-19 20:37:07 +0000,0d3a63c,MegaCore-avr-1281,18162,574,797
2026-02-19 20:37:07 +0000,0d3a63c,MegaCoreX-megaavr-4809,15546,94,910
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-GenF3,29800,164,3412
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-Nucleo_64,33300,156,3532
2026-02-19 20:37:07 +0000,0d3a63c,SiliconLabs-silabs-xg24explorerkit,918528,3924,257780
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-nrf52-feather52832,36644,532,49132
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-samd-adafruit_feather_m0,43704,656,4540
2026-02-19 20:37:07 +0000,0d3a63c,arduino-avr-mega,16620,536,785
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-envie_m4,126300,12584,119520
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-nano33ble,95280,3624,258520
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed_rp2040-pico,105109,0,39964
2026-02-19 20:37:07 +0000,0d3a63c,arduino-megaavr-uno2018,16964,104,1029
2026-02-19 20:37:07 +0000,0d3a63c,arduino-renesas_uno-minima,61256,620,14088
2026-02-19 20:37:07 +0000,0d3a63c,arduino-sam-arduino_due_x,40868,0,3308
2026-02-19 20:37:07 +0000,0d3a63c,arduino-samd-arduino_zero_native,39268,544,3692
2026-02-19 20:37:07 +0000,0d3a63c,esp32-esp32-esp32,211449,106884,6129
2026-02-19 20:37:07 +0000,0d3a63c,esp8266-esp8266-generic,276407,1552,26656
2026-02-19 20:37:07 +0000,0d3a63c,rp2040-rp2040-rpipico,335464,12032,7520
2026-02-19 20:37:07 +0000,0d3a63c,stm32duino-STM32F1-mapleMini,27544,1272,1752
2026-02-19 20:37:07 +0000,0d3a63c,teensy-avr-teensy41,48448,12992,14688
2026-02-19 17:56:40 +0000,5bb0c62,CubeCell-CubeCell-CubeCell-Board,45069,136,7732
2026-02-19 17:56:40 +0000,5bb0c62,MegaCore-avr-1281,18162,574,797
2026-02-19 17:56:40 +0000,5bb0c62,MegaCoreX-megaavr-4809,15546,94,910
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-GenF3,29800,164,3412
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-Nucleo_64,33300,156,3532
2026-02-19 17:56:40 +0000,5bb0c62,SiliconLabs-silabs-xg24explorerkit,918528,3924,257780
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-nrf52-feather52832,36644,532,49132
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-samd-adafruit_feather_m0,43704,656,4540
2026-02-19 16:16:56 +0000,5bb0c62,arduino-avr-mega,16620,536,785
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-envie_m4,126300,12584,119520
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-nano33ble,95280,3624,258520
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed_rp2040-pico,105109,0,39964
2026-02-19 17:56:40 +0000,5bb0c62,arduino-megaavr-uno2018,16964,104,1029
2026-02-19 17:56:40 +0000,5bb0c62,arduino-renesas_uno-minima,61256,620,14088
2026-02-19 17:56:40 +0000,5bb0c62,arduino-sam-arduino_due_x,40868,0,3308
2026-02-19 17:56:40 +0000,5bb0c62,arduino-samd-arduino_zero_native,39268,544,3692
2026-02-19 17:56:40 +0000,5bb0c62,esp32-esp32-esp32,211449,106884,6129
2026-02-19 17:56:40 +0000,5bb0c62,esp8266-esp8266-generic,276407,1552,26656
2026-02-19 17:56:40 +0000,5bb0c62,rp2040-rp2040-rpipico,335464,12032,7520
2026-02-19 17:56:40 +0000,5bb0c62,stm32duino-STM32F1-mapleMini,27544,1272,1752
2026-02-19 17:56:40 +0000,5bb0c62,teensy-avr-teensy41,48448,12992,14688
2026-02-19 20:01:24 +0000,f403b9c,arduino-avr-mega,16620,536,785
