time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,33612,412,779
2025-03-02 19:35:16 +0000,01d1bda,arduino-avr-mega,32984,392,775
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,31768,342,770
2025-10-25 19:49:30 +0000,0273939,arduino-avr-mega,33592,400,779
2025-01-14 07:15:22 +0000,04b9687,arduino-avr-mega,31768,342,770
2025-09-22 19:45:29 +0000,05ba4e1,arduino-avr-mega,33592,400,779
2025-05-31 08:48:11 +0000,06af9a8,arduino-avr-mega,33118,392,775
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,31768,342,770
2025-06-30 10:36:48 +0000,073e57c,arduino-avr-mega,33118,392,775
2026-01-31 17:18:29 +0000,08a7853,arduino-avr-mega,33436,410,775
2025-03-03 07:48:45 +0000,08e0c0e,arduino-avr-mega,32984,392,775
2025-01-18 17:43:47 +0000,0cd69b2,arduino-avr-mega,32392,350,770
2026-02-19 20:37:07 +0000,0d3a63c,CubeCell-CubeCell-CubeCell-Board,58285,136,7708
2026-02-19 20:37:07 +0000,0d3a63c,MegaCore-avr-1281,35384,558,787
2026-02-19 20:37:07 +0000,0d3a63c,MegaCoreX-megaavr-4809,31790,94,900
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-GenF3,41540,164,3388
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-Nucleo_64,45044,156,3508
2026-02-19 20:37:07 +0000,0d3a63c,SiliconLabs-silabs-xg24explorerkit,929896,3924,257780
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-nrf52-feather52832,54832,532,49132
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-samd-adafruit_feather_m0,55376,656,4524
2026-02-19 20:37:07 +0000,0d3a63c,arduino-avr-mega,33414,410,775
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-envie_m4,138184,12584,119496
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-nano33ble,106512,3624,258520
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed_rp2040-pico,117143,0,39940
2026-02-19 20:37:07 +0000,0d3a63c,arduino-megaavr-uno2018,33434,104,1019
2026-02-19 20:37:07 +0000,0d3a63c,arduino-renesas_uno-minima,63864,252,14064
2026-02-19 20:37:07 +0000,0d3a63c,arduino-sam-arduino_due_x,37788,0,3284
2026-02-19 20:37:07 +0000,0d3a63c,arduino-samd-arduino_zero_native,43208,176,3668
2026-02-19 20:37:07 +0000,0d3a63c,esp32-esp32-esp32,222385,107064,6105
2026-02-19 20:37:07 +0000,0d3a63c,esp8266-esp8266-generic,288639,1552,26640
2026-02-19 20:37:07 +0000,0d3a63c,rp2040-rp2040-rpipico,337288,12032,7496
2026-02-19 20:37:07 +0000,0d3a63c,stm32duino-STM32F1-mapleMini,39676,1272,1728
2026-02-19 20:37:07 +0000,0d3a63c,teensy-avr-teensy41,38208,10944,14656
2025-11-10 19:38:18 +0000,0d9ee43,arduino-avr-mega,33592,400,779
2026-02-01 20:38:35 +0000,10e0eb2,arduino-avr-mega,33436,410,775
2026-02-12 18:44:18 +0000,116d975,arduino-avr-mega,33414,410,775
2025-04-15 16:24:54 +0000,13ad2f6,arduino-avr-mega,32984,392,775
2025-03-06 20:12:37 +0000,15745bb,arduino-avr-mega,32984,392,775
2025-03-08 12:18:50 +0000,1b62bc3,arduino-avr-mega,32984,392,775
2026-02-01 10:24:12 +0000,1c5b02e,arduino-avr-mega,33436,410,775
2026-02-15 13:09:36 +0000,1d68c76,arduino-avr-mega,33414,410,775
2025-05-08 15:20:40 +0000,1dae175,arduino-avr-mega,32984,392,775
2025-10-21 19:31:38 +0000,1de9837,arduino-avr-mega,33592,400,779
2025-07-21 05:14:37 +0000,1dfd194,arduino-avr-mega,33170,396,775
2025-06-14 20:44:04 +0000,20d0f58,arduino-avr-mega,33118,392,775
2025-06-30 13:35:30 +0000,227e40b,arduino-avr-mega,33118,392,775
2025-02-05 19:52:26 +0000,2550fae,arduino-avr-mega,32732,354,773
2025-01-30 21:55:04 +0000,27653e1,arduino-avr-mega,32392,350,770
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,31768,342,770
2025-09-18 16:38:26 +0000,28707e8,arduino-avr-mega,33090,398,779
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,31768,342,770
2025-09-21 07:47:01 +0000,2a2f6e0,CubeCell-CubeCell-CubeCell-Board,58341,136,7716
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCore-avr-1281,35530,552,791
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCoreX-megaavr-4809,32010,94,904
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-GenF3,41584,164,3396
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-Nucleo_64,44744,156,3516
2025-09-21 07:47:01 +0000,2a2f6e0,SiliconLabs-silabs-xg24explorerkit,929976,3924,257780
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-nrf52-feather52832,54616,532,49132
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-samd-adafruit_feather_m0,55424,656,4500
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-avr-mega,33592,400,779
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-envie_m4,138224,12584,119504
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-nano33ble,106568,3624,258520
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed_rp2040-pico,117205,0,39948
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-megaavr-uno2018,33636,104,1023
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-renesas_uno-minima,63884,252,14072
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-sam-arduino_due_x,37828,0,3292
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-samd-arduino_zero_native,43280,176,3676
2025-09-21 07:47:01 +0000,2a2f6e0,esp32-esp32-esp32,222469,101796,6113
2025-09-21 07:47:01 +0000,2a2f6e0,esp8266-esp8266-generic,288687,1552,26648
2025-09-21 07:47:01 +0000,2a2f6e0,rp2040-rp2040-rpipico,338832,12032,8148
2025-09-21 07:47:01 +0000,2a2f6e0,stm32duino-STM32F1-mapleMini,39716,1272,1736
2025-09-21 07:47:01 +0000,2a2f6e0,teensy-avr-teensy41,38208,10944,14656
2026-01-03 15:54:51 +0000,2c187e7,arduino-avr-mega,33606,408,779
2026-02-17 14:52:42 +0000,2c48700,arduino-avr-mega,33414,410,775
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,58133,136,7700
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,34538,506,782
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,30330,100,895
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,41844,164,3388
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,44536,156,3500
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,869880,12,178520
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,54912,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,55320,656,4484
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,31768,342,770
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,138464,12584,119496
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,106856,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,117063,0,39940
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,31882,110,1014
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,64132,252,14060
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,37788,0,3280
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,43148,176,3668
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,223153,100876,6097
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,288815,1552,26632
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,337780,12032,8120
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,39676,1272,1728
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,38208,10944,14656
2025-08-12 16:09:50 +0000,2d51048,arduino-avr-mega,33170,396,775
2025-05-04 17:15:02 +0000,3002cdf,arduino-avr-mega,32984,392,775
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,58397,136,7716
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,35542,564,791
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,32030,94,904
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41648,164,3396
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,45152,156,3516
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,930032,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,54664,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,55456,656,4500
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,33612,412,779
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138248,12584,119504
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106592,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,117261,0,39948
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,33656,104,1023
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,63980,252,14072
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,37908,0,3292
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,43324,176,3676
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,222501,106964,6113
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,288735,1552,26648
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337408,12032,7504
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,39796,1272,1736
