time,commit,platform,text,data,bss
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,34200,384,786
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,34200,384,786
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,34200,384,786
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,34200,384,786
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,34200,384,786
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,60109,136,7724
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,37724,558,798
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,32622,100,911
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,873048,12,178544
2025-01-05 19:01:43 +0000,49f21cc,adafruit-nrf52-feather52832,57128,536,49128
2025-01-05 19:01:43 +0000,49f21cc,adafruit-samd-adafruit_feather_m0,57136,656,4516
2025-01-05 17:43:45 +0000,49f21cc,arduino-avr-mega,34200,384,786
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,140496,12584,119520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,108744,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,118894,0,39964
2025-01-05 19:01:43 +0000,49f21cc,arduino-megaavr-uno2018,34188,110,1030
2025-01-05 19:01:43 +0000,49f21cc,arduino-renesas_uno-minima,65972,252,14084
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,39620,0,3304
2025-01-05 19:01:43 +0000,49f21cc,arduino-samd-arduino_zero_native,44980,176,3692
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,225033,100912,6121
2025-01-05 19:01:43 +0000,49f21cc,esp8266-esp8266-generic,291115,1552,26648
2025-01-05 19:01:43 +0000,49f21cc,rp2040-rp2040-rpipico,339604,12032,8144
2025-01-05 19:01:43 +0000,49f21cc,stm32duino-STM32F1-mapleMini,41524,1272,1752
2025-01-05 19:01:43 +0000,49f21cc,teensy-avr-teensy41,40256,10944,14688
2025-01-05 14:43:42 +0000,5239952,arduino-avr-mega,34200,384,786
2025-01-04 14:16:31 +0000,5952106,arduino-avr-mega,34200,384,786
2025-01-05 14:37:13 +0000,66e276b,arduino-avr-mega,34200,384,786
2025-01-03 18:20:44 +0000,680e88c,arduino-avr-mega,34200,384,786
2025-01-03 18:36:28 +0000,7141d26,arduino-avr-mega,34200,384,786
2025-01-04 15:29:55 +0000,a3782b4,arduino-avr-mega,34200,384,786
2025-01-05 09:10:39 +0000,a63ca70,arduino-avr-mega,34200,384,786
2025-01-01 13:23:19 +0000,bd4ede2,arduino-avr-mega,33870,384,786
2025-01-05 16:32:17 +0000,cbb8d41,arduino-avr-mega,34200,384,786
2025-01-05 20:49:24 +0000,d26b1ff,CubeCell-CubeCell-CubeCell-Board,60109,136,7724
2025-01-05 20:49:24 +0000,d26b1ff,MegaCore-avr-1281,37724,558,798
2025-01-05 20:49:24 +0000,d26b1ff,MegaCoreX-megaavr-4809,32622,100,911
2025-01-05 20:49:24 +0000,d26b1ff,SiliconLabs-silabs-xg24explorerkit,873048,12,178544
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-nrf52-feather52832,57128,536,49128
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-samd-adafruit_feather_m0,57136,656,4516
2025-01-05 20:49:24 +0000,d26b1ff,arduino-avr-mega,34200,384,786
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-envie_m4,140496,12584,119520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-nano33ble,108744,3624,258520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed_rp2040-pico,118894,0,39964
2025-01-05 20:49:24 +0000,d26b1ff,arduino-megaavr-uno2018,34188,110,1030
2025-01-05 20:49:24 +0000,d26b1ff,arduino-renesas_uno-minima,65972,252,14084
2025-01-05 20:49:24 +0000,d26b1ff,arduino-sam-arduino_due_x,39620,0,3304
2025-01-05 20:49:24 +0000,d26b1ff,arduino-samd-arduino_zero_native,44980,176,3692
2025-01-05 20:49:24 +0000,d26b1ff,esp32-esp32-esp32,225033,100912,6121
2025-01-05 20:49:24 +0000,d26b1ff,esp8266-esp8266-generic,291115,1552,26648
2025-01-05 20:49:24 +0000,d26b1ff,rp2040-rp2040-rpipico,339604,12032,8144
2025-01-05 20:49:24 +0000,d26b1ff,stm32duino-STM32F1-mapleMini,41524,1272,1752
2025-01-05 20:49:24 +0000,d26b1ff,teensy-avr-teensy41,40256,10944,14688
