time,commit,platform,text,data,bss
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,34346,410,793
2025-01-14 07:15:22 +0000,04b9687,arduino-avr-mega,34346,410,793
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,34346,410,793
2025-01-18 17:43:47 +0000,0cd69b2,arduino-avr-mega,35020,418,793
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,34346,410,793
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,34346,410,793
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,60933,136,7732
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,38882,586,805
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,33035,100,918
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,44436,164,3420
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,47144,156,3532
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,873600,12,178552
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,58048,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,57864,656,4516
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,34346,410,793
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,141620,12584,119528
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,109560,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,119531,0,39972
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,34631,110,1037
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,66736,252,14092
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,41588,0,3312
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,45760,176,3700
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,225737,101148,6129
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,292407,1552,26656
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,339988,12032,8152
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,42260,1272,1760
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,41280,10944,14688
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,34346,410,793
2025-01-19 17:40:36 +0000,4733fdd,arduino-avr-mega,35020,418,793
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,60933,136,7732
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,38882,586,805
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,33035,100,918
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,873600,12,178552
2025-01-05 19:01:43 +0000,49f21cc,adafruit-nrf52-feather52832,58048,536,49128
2025-01-05 19:01:43 +0000,49f21cc,adafruit-samd-adafruit_feather_m0,57864,656,4516
2025-01-05 17:43:45 +0000,49f21cc,arduino-avr-mega,34346,410,793
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,141620,12584,119528
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,109560,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,119531,0,39972
2025-01-05 19:01:43 +0000,49f21cc,arduino-megaavr-uno2018,34631,110,1037
2025-01-05 19:01:43 +0000,49f21cc,arduino-renesas_uno-minima,66736,252,14092
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,41588,0,3312
2025-01-05 19:01:43 +0000,49f21cc,arduino-samd-arduino_zero_native,45760,176,3700
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,225737,101148,6129
