time,commit,platform,text,data,bss
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,1113688,12,178540
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,382708,12584,119512
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,350968,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,361378,0,39964
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,282364,0,3300
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,222173,346332,6113
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,581744,12032,8140
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,281920,11968,14688
2025-06-21 17:21:19 +0000,48a863d,SiliconLabs-silabs-xg24explorerkit,1112656,12,178576
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-envie_m4,381960,12584,119520
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-nano33ble,350160,3624,258520
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed_rp2040-pico,360924,0,39964
2025-06-21 17:21:19 +0000,48a863d,arduino-sam-arduino_due_x,281684,0,3308
2025-06-21 17:21:19 +0000,48a863d,esp32-esp32-esp32,221149,346980,6129
2025-06-21 17:21:19 +0000,48a863d,rp2040-rp2040-rpipico,580704,12032,8156
2025-06-21 17:21:19 +0000,48a863d,teensy-avr-teensy41,280896,11968,14688
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,1113688,12,178540
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,382708,12584,119512
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,350968,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,361378,0,39964
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,282364,0,3300
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,222173,346332,6113
2025-01-05 19:01:43 +0000,49f21cc,rp2040-rp2040-rpipico,581744,12032,8140
2025-01-05 19:01:43 +0000,49f21cc,teensy-avr-teensy41,281920,11968,14688
2025-01-05 20:49:24 +0000,d26b1ff,SiliconLabs-silabs-xg24explorerkit,1113688,12,178540
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-envie_m4,382708,12584,119512
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-nano33ble,350968,3624,258520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed_rp2040-pico,361378,0,39964
2025-01-05 20:49:24 +0000,d26b1ff,arduino-sam-arduino_due_x,282364,0,3300
2025-01-05 20:49:24 +0000,d26b1ff,esp32-esp32-esp32,222173,346332,6113
2025-01-05 20:49:24 +0000,d26b1ff,rp2040-rp2040-rpipico,581744,12032,8140
2025-01-05 20:49:24 +0000,d26b1ff,teensy-avr-teensy41,281920,11968,14688
2025-06-21 15:34:49 +0000,f2fbd73,SiliconLabs-silabs-xg24explorerkit,1112656,12,178576
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed-envie_m4,381960,12584,119520
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed-nano33ble,350160,3624,258520
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed_rp2040-pico,360924,0,39964
2025-06-21 15:34:49 +0000,f2fbd73,arduino-sam-arduino_due_x,281684,0,3308
2025-06-21 15:34:49 +0000,f2fbd73,esp32-esp32-esp32,221149,346980,6129
2025-06-21 15:34:49 +0000,f2fbd73,rp2040-rp2040-rpipico,580704,12032,8156
2025-06-21 15:34:49 +0000,f2fbd73,teensy-avr-teensy41,280896,11968,14688
