time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,31440,454,805
2026-01-31 17:18:29 +0000,08a7853,arduino-avr-mega,31294,452,801
2026-02-01 10:24:12 +0000,1c5b02e,arduino-avr-mega,31512,534,801
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,57925,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,37974,604,817
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,29906,94,930
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41768,164,3420
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,45372,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,930448,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,49856,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,56192,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,31440,454,805
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138900,12584,119528
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,107072,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,118224,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,31380,104,1049
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,64532,252,14096
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,39476,0,3316
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,41100,176,3700
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,223377,107300,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,289471,1552,26672
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,338048,12032,7528
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,40140,1272,1760
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,38208,11968,14688
2026-02-01 07:58:02 +0000,4eecf22,arduino-avr-mega,31510,534,801
2026-01-31 17:14:18 +0000,7954251,arduino-avr-mega,31296,452,801
2026-01-31 20:23:29 +0000,925f516,arduino-avr-mega,31538,534,801
2026-01-31 18:22:01 +0000,95516cb,arduino-avr-mega,31506,534,801
2026-02-01 10:17:49 +0000,97263cd,arduino-avr-mega,31512,534,801
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,31430,452,805
2026-02-01 08:05:58 +0000,bcde610,arduino-avr-mega,31512,534,801
2026-01-31 16:37:08 +0000,d2dcd6d,arduino-avr-mega,31430,452,805
