time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,29654,450,805
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,56909,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,35850,600,817
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,28154,94,930
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,40580,164,3420
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,44184,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,929432,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,48768,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,54952,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,29654,450,805
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,137724,12584,119528
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106000,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,117137,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,29688,104,1049
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,63388,252,14096
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,37060,0,3316
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,39924,176,3700
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,222329,107048,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,288239,1552,26664
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337152,12032,7528
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,38964,1272,1760
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,37184,11968,14688
