time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,31076,446,805
2026-01-31 17:18:29 +0000,08a7853,arduino-avr-mega,30930,444,801
2026-02-01 20:38:35 +0000,10e0eb2,arduino-avr-mega,31050,526,801
2026-02-01 10:24:12 +0000,1c5b02e,arduino-avr-mega,31058,526,801
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,59093,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,37548,594,817
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,29517,94,930
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41344,164,3420
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,45032,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,930168,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,51172,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,56008,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,31076,446,805
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138588,12584,119528
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106776,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,118083,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,30969,104,1049
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,64296,252,14096
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,39508,0,3316
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,43924,176,3700
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,223345,107040,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,289823,1552,26664
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337816,12032,7528
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,40308,1272,1760
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,38208,11968,14688
2026-02-07 18:26:43 +0000,35e9c39,arduino-avr-mega,31176,526,801
2026-02-01 07:58:02 +0000,4eecf22,arduino-avr-mega,31056,526,801
2026-02-03 15:49:00 +0000,4f3d2ab,arduino-avr-mega,31062,526,801
2026-02-06 19:38:53 +0000,74812e5,arduino-avr-mega,31176,526,801
2026-01-31 17:14:18 +0000,7954251,arduino-avr-mega,30932,444,801
2026-01-31 20:23:29 +0000,925f516,arduino-avr-mega,31060,526,801
2026-01-31 18:22:01 +0000,95516cb,arduino-avr-mega,31028,526,801
2026-02-01 10:17:49 +0000,97263cd,arduino-avr-mega,31058,526,801
2026-02-01 12:40:08 +0000,a73d926,arduino-avr-mega,31058,526,801
2026-02-01 20:32:03 +0000,aedddcd,arduino-avr-mega,31054,526,801
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,31066,444,805
2026-02-01 08:05:58 +0000,bcde610,arduino-avr-mega,31058,526,801
2026-02-05 06:29:49 +0000,ce81630,arduino-avr-mega,31062,526,801
2026-01-31 16:37:08 +0000,d2dcd6d,arduino-avr-mega,31066,444,805
2026-02-05 16:52:28 +0000,d3eabae,arduino-avr-mega,31062,526,801
2026-02-05 18:02:49 +0000,e13aa3f,arduino-avr-mega,31176,526,801
2026-02-01 13:58:10 +0000,f1de01d,arduino-avr-mega,31058,526,801
