time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,31144,446,806
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,59157,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,37616,594,818
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,29575,94,931
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41400,164,3428
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,45088,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,930200,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,51188,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,56064,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,31144,446,806
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138648,12584,119536
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106840,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,118149,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,31033,104,1050
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,64352,252,14100
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,39572,0,3320
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,43988,176,3708
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,223437,107040,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,289927,1552,26672
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337880,12032,7528
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,40372,1272,1768
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,38208,11968,14688
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,31134,444,806
2026-01-31 16:37:08 +0000,d2dcd6d,arduino-avr-mega,31134,444,806
