time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,30424,448,807
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,57237,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,36942,598,819
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,28884,94,932
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41084,164,3428
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,44696,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,929816,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,49392,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,55504,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,30424,448,807
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138224,12584,119536
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106384,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,117564,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,30492,104,1051
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,63884,252,14100
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,38796,0,3320
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,40436,176,3708
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,222657,106948,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,288859,1552,26672
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337540,12032,7532
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,39460,1272,1768
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,39232,10944,14688
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,30414,446,807
