time,commit,platform,text,data,bss
2025-09-22 19:45:29 +0000,05ba4e1,arduino-avr-mega,68222,2172,2317
2025-06-30 10:36:48 +0000,073e57c,arduino-avr-mega,67984,2010,2157
2025-07-21 05:14:37 +0000,1dfd194,arduino-avr-mega,68144,2014,2157
2025-06-14 20:44:04 +0000,20d0f58,arduino-avr-mega,66510,2016,2110
2025-06-30 13:35:30 +0000,227e40b,arduino-avr-mega,68118,2010,2157
2025-09-18 16:38:26 +0000,28707e8,arduino-avr-mega,66714,1960,2107
2025-09-21 07:47:01 +0000,2a2f6e0,CubeCell-CubeCell-CubeCell-Board,81381,136,9700
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCore-avr-1281,72640,2360,2348
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-GenF3,66412,364,5376
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-Nucleo_64,69672,368,5496
2025-09-21 07:47:01 +0000,2a2f6e0,SiliconLabs-silabs-xg24explorerkit,950840,3924,257780
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-nrf52-feather52832,83308,532,49132
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-samd-adafruit_feather_m0,78288,656,6484
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-avr-mega,68222,2172,2317
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-envie_m4,160292,12584,121488
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-nano33ble,127928,3624,258520
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed_rp2040-pico,139789,0,41908
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-sam-arduino_due_x,61228,0,5276
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-samd-arduino_zero_native,66220,176,5660
2025-09-21 07:47:01 +0000,2a2f6e0,esp32-esp32-esp32,243709,104608,8089
2025-09-21 07:47:01 +0000,2a2f6e0,esp8266-esp8266-generic,314763,1552,28632
2025-09-21 07:47:01 +0000,2a2f6e0,rp2040-rp2040-rpipico,359196,12032,10112
2025-09-21 07:47:01 +0000,2a2f6e0,stm32duino-STM32F1-mapleMini,62060,1272,3720
2025-08-12 16:09:50 +0000,2d51048,arduino-avr-mega,68144,2014,2157
2025-09-17 05:40:12 +0000,3220774,arduino-avr-mega,66298,1960,2107
2025-07-01 18:16:58 +0000,32c3570,arduino-avr-mega,68118,2010,2157
2025-09-17 05:09:39 +0000,334c003,arduino-avr-mega,66286,1960,2107
2025-09-17 15:54:05 +0000,37ed8f5,arduino-avr-mega,66714,1960,2107
2025-08-24 18:31:49 +0000,3d94858,arduino-avr-mega,66196,1952,2103
2025-08-28 07:44:49 +0000,42c3b2e,arduino-avr-mega,66400,1958,2107
2025-06-21 17:21:19 +0000,48a863d,CubeCell-CubeCell-CubeCell-Board,79989,136,9316
2025-06-21 17:21:19 +0000,48a863d,MegaCore-avr-1281,71146,2186,2188
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-GenF3,61220,164,4992
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-Nucleo_64,64488,156,5104
2025-06-21 17:21:19 +0000,48a863d,SiliconLabs-silabs-xg24explorerkit,889224,12,180140
2025-06-21 17:21:19 +0000,48a863d,adafruit-nrf52-feather52832,87044,532,49132
2025-06-21 17:21:19 +0000,48a863d,adafruit-samd-adafruit_feather_m0,76832,656,6100
2025-06-21 17:21:19 +0000,48a863d,arduino-avr-mega,67332,2010,2157
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-envie_m4,159528,12584,121104
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-nano33ble,127144,3624,258520
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed_rp2040-pico,138652,0,41524
2025-06-21 17:21:19 +0000,48a863d,arduino-sam-arduino_due_x,60140,0,4892
2025-06-21 17:21:19 +0000,48a863d,arduino-samd-arduino_zero_native,64780,176,5276
2025-06-21 17:21:19 +0000,48a863d,esp32-esp32-esp32,242857,103956,7705
2025-06-21 17:21:19 +0000,48a863d,esp8266-esp8266-generic,313523,1552,28248
2025-06-21 17:21:19 +0000,48a863d,rp2040-rp2040-rpipico,356596,12032,9720
2025-06-21 17:21:19 +0000,48a863d,stm32duino-STM32F1-mapleMini,60836,1272,3336
2025-06-16 07:00:53 +0000,494cfb6,arduino-avr-mega,67050,2016,2110
2025-09-20 08:41:25 +0000,5885ede,arduino-avr-mega,68162,2172,2317
2025-06-16 09:12:07 +0000,5b38ce9,arduino-avr-mega,67050,2016,2110
2025-06-30 17:16:43 +0000,5f73a87,arduino-avr-mega,68118,2010,2157
2025-06-23 14:36:20 +0000,66830d6,arduino-avr-mega,67332,2010,2157
2025-07-05 19:06:20 +0000,6bc37af,arduino-avr-mega,68118,2010,2157
2025-09-05 13:37:24 +0000,6c38520,arduino-avr-mega,66394,1958,2107
2025-09-18 17:40:26 +0000,70bca65,arduino-avr-mega,66930,1962,2107
2025-06-29 22:57:56 +0000,75ac7b7,arduino-avr-mega,68902,2010,2157
2025-09-19 17:09:06 +0000,778a73e,arduino-avr-mega,66920,1962,2107
2025-07-15 16:01:30 +0000,7fb0792,arduino-avr-mega,68138,2014,2157
2025-09-10 05:21:21 +0000,7fc83f7,arduino-avr-mega,66308,1960,2107
2025-09-17 15:21:32 +0000,804470e,arduino-avr-mega,66714,1960,2107
2025-06-16 09:07:52 +0000,827fbd9,arduino-avr-mega,67050,2016,2110
2025-06-20 16:26:18 +0000,83fbedb,arduino-avr-mega,66990,2010,2110
2025-09-20 10:10:19 +0000,8ac7893,arduino-avr-mega,68232,2172,2317
2025-08-29 11:40:51 +0000,a28234e,arduino-avr-mega,66400,1958,2107
2025-06-21 19:10:12 +0000,a3a4b15,arduino-avr-mega,67332,2010,2157
2025-09-20 19:34:22 +0000,a3ab19e,arduino-avr-mega,68222,2172,2317
2025-09-20 20:05:59 +0000,a679e60,CubeCell-CubeCell-CubeCell-Board,81389,136,9700
2025-09-20 20:05:59 +0000,a679e60,MegaCore-avr-1281,72646,2360,2348
2025-09-20 20:05:59 +0000,a679e60,STMicroelectronics-stm32-GenF3,66420,364,5376
2025-09-20 20:05:59 +0000,a679e60,STMicroelectronics-stm32-Nucleo_64,69680,368,5496
2025-09-20 20:05:59 +0000,a679e60,SiliconLabs-silabs-xg24explorerkit,950840,3924,257780
2025-09-20 20:05:59 +0000,a679e60,adafruit-nrf52-feather52832,83324,532,49132
2025-09-20 20:05:59 +0000,a679e60,adafruit-samd-adafruit_feather_m0,78304,656,6484
2025-09-20 18:53:11 +0000,a679e60,arduino-avr-mega,68232,2172,2317
2025-09-20 20:05:59 +0000,a679e60,arduino-mbed-envie_m4,160292,12584,121488
2025-09-20 20:05:59 +0000,a679e60,arduino-mbed-nano33ble,127992,3624,258520
2025-09-20 20:05:59 +0000,a679e60,arduino-mbed_rp2040-pico,139789,0,41908
2025-09-20 20:05:59 +0000,a679e60,arduino-sam-arduino_due_x,61236,0,5276
2025-09-20 20:05:59 +0000,a679e60,arduino-samd-arduino_zero_native,66220,176,5660
2025-09-20 20:05:59 +0000,a679e60,esp32-esp32-esp32,243717,104608,8089
2025-09-20 20:05:59 +0000,a679e60,esp8266-esp8266-generic,314779,1552,28632
2025-09-20 20:05:59 +0000,a679e60,rp2040-rp2040-rpipico,359196,12032,10112
2025-09-20 20:05:59 +0000,a679e60,stm32duino-STM32F1-mapleMini,62060,1272,3720
2025-09-22 17:56:14 +0000,aeac756,arduino-avr-mega,68222,2172,2317
2025-09-02 07:32:30 +0000,b78ff14,arduino-avr-mega,66394,1958,2107
2025-07-09 20:06:35 +0000,b91c6af,CubeCell-CubeCell-CubeCell-Board,80205,136,9316
2025-07-09 20:06:35 +0000,b91c6af,MegaCore-avr-1281,71680,2186,2188
2025-07-09 20:06:35 +0000,b91c6af,STMicroelectronics-stm32-GenF3,61440,164,4992
2025-07-09 20:06:35 +0000,b91c6af,STMicroelectronics-stm32-Nucleo_64,64716,156,5104
2025-07-09 20:06:35 +0000,b91c6af,SiliconLabs-silabs-xg24explorerkit,889384,12,180140
2025-07-09 20:06:35 +0000,b91c6af,adafruit-nrf52-feather52832,87924,532,49132
2025-07-09 20:06:35 +0000,b91c6af,adafruit-samd-adafruit_feather_m0,77056,656,6100
2025-07-09 20:06:35 +0000,b91c6af,arduino-avr-mega,68118,2010,2157
2025-07-09 20:06:35 +0000,b91c6af,arduino-mbed-envie_m4,159784,12584,121104
2025-07-09 20:06:35 +0000,b91c6af,arduino-mbed-nano33ble,127400,3624,258520
2025-07-09 20:06:35 +0000,b91c6af,arduino-mbed_rp2040-pico,138869,0,41524
2025-07-09 20:06:35 +0000,b91c6af,arduino-sam-arduino_due_x,60348,0,4892
2025-07-09 20:06:35 +0000,b91c6af,arduino-samd-arduino_zero_native,64996,176,5276
2025-07-09 20:06:35 +0000,b91c6af,esp32-esp32-esp32,243169,103872,7705
2025-07-09 20:06:35 +0000,b91c6af,esp8266-esp8266-generic,313859,1552,28248
2025-07-09 20:06:35 +0000,b91c6af,rp2040-rp2040-rpipico,356780,12032,9720
2025-07-09 20:06:35 +0000,b91c6af,stm32duino-STM32F1-mapleMini,61036,1272,3336
2025-09-07 16:05:13 +0000,bbb2e4e,arduino-avr-mega,66416,1958,2107
2025-06-30 11:00:44 +0000,bbcb3ec,arduino-avr-mega,67984,2010,2157
2025-06-19 17:11:08 +0000,bda5e39,arduino-avr-mega,66990,2010,2110
2025-06-21 14:59:25 +0000,bfa440a,arduino-avr-mega,67332,2010,2157
2025-07-18 16:22:26 +0000,c588031,arduino-avr-mega,68138,2014,2157
2025-06-01 08:41:30 +0000,c852a37,arduino-avr-mega,66510,2016,2110
2025-09-20 11:04:57 +0000,c938127,arduino-avr-mega,68232,2172,2317
2025-07-20 09:52:40 +0000,d05dbf0,arduino-avr-mega,68144,2014,2157
2025-07-05 09:57:08 +0000,d0db02e,arduino-avr-mega,68118,2010,2157
2025-09-15 14:46:23 +0000,d27d988,arduino-avr-mega,66308,1960,2107
2025-06-20 12:58:22 +0000,e173cb3,arduino-avr-mega,66990,2010,2110
2025-09-17 15:41:14 +0000,e23bae3,arduino-avr-mega,66714,1960,2107
2025-08-22 05:13:54 +0000,e47f1e2,arduino-avr-mega,68144,2014,2157
2025-09-27 09:53:26 +0000,e8a4d79,arduino-avr-mega,68244,2172,2317
2025-06-21 15:34:49 +0000,f2fbd73,CubeCell-CubeCell-CubeCell-Board,79989,136,9316
2025-06-21 15:34:49 +0000,f2fbd73,MegaCore-avr-1281,71146,2186,2188
2025-06-21 15:34:49 +0000,f2fbd73,STMicroelectronics-stm32-GenF3,61220,164,4992
2025-06-21 15:34:49 +0000,f2fbd73,STMicroelectronics-stm32-Nucleo_64,64488,156,5104
2025-06-21 15:34:49 +0000,f2fbd73,SiliconLabs-silabs-xg24explorerkit,889224,12,180140
2025-06-21 15:34:49 +0000,f2fbd73,adafruit-nrf52-feather52832,87044,532,49132
2025-06-21 15:34:49 +0000,f2fbd73,adafruit-samd-adafruit_feather_m0,76832,656,6100
2025-06-21 14:04:40 +0000,f2fbd73,arduino-avr-mega,67332,2010,2157
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed-envie_m4,159528,12584,121104
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed-nano33ble,127144,3624,258520
2025-06-21 15:34:49 +0000,f2fbd73,arduino-mbed_rp2040-pico,138652,0,41524
2025-06-21 15:34:49 +0000,f2fbd73,arduino-sam-arduino_due_x,60140,0,4892
2025-06-21 15:34:49 +0000,f2fbd73,arduino-samd-arduino_zero_native,64780,176,5276
2025-06-21 15:34:49 +0000,f2fbd73,esp32-esp32-esp32,242857,103956,7705
2025-06-21 15:34:49 +0000,f2fbd73,esp8266-esp8266-generic,313523,1552,28248
2025-06-21 15:34:49 +0000,f2fbd73,rp2040-rp2040-rpipico,356596,12032,9720
2025-06-21 15:34:49 +0000,f2fbd73,stm32duino-STM32F1-mapleMini,60836,1272,3336
2025-09-20 09:18:19 +0000,f35d124,arduino-avr-mega,68232,2172,2317
2025-07-09 17:51:28 +0000,f6239d0,CubeCell-CubeCell-CubeCell-Board,80205,136,9316
2025-07-09 17:51:28 +0000,f6239d0,MegaCore-avr-1281,71680,2186,2188
2025-07-09 17:51:28 +0000,f6239d0,STMicroelectronics-stm32-GenF3,61440,164,4992
2025-07-09 17:51:28 +0000,f6239d0,STMicroelectronics-stm32-Nucleo_64,64716,156,5104
2025-07-09 17:51:28 +0000,f6239d0,SiliconLabs-silabs-xg24explorerkit,889384,12,180140
2025-07-09 17:51:28 +0000,f6239d0,adafruit-nrf52-feather52832,87924,532,49132
2025-07-09 17:51:28 +0000,f6239d0,adafruit-samd-adafruit_feather_m0,77056,656,6100
2025-07-06 12:55:21 +0000,f6239d0,arduino-avr-mega,68118,2010,2157
2025-07-09 17:51:28 +0000,f6239d0,arduino-mbed-envie_m4,159784,12584,121104
2025-07-09 17:51:28 +0000,f6239d0,arduino-mbed-nano33ble,127400,3624,258520
2025-07-09 17:51:28 +0000,f6239d0,arduino-mbed_rp2040-pico,138869,0,41524
2025-07-09 17:51:28 +0000,f6239d0,arduino-sam-arduino_due_x,60348,0,4892
2025-07-09 17:51:28 +0000,f6239d0,arduino-samd-arduino_zero_native,64996,176,5276
2025-07-09 17:51:28 +0000,f6239d0,esp32-esp32-esp32,243169,103872,7705
2025-07-09 17:51:28 +0000,f6239d0,esp8266-esp8266-generic,313859,1552,28248
2025-07-09 17:51:28 +0000,f6239d0,rp2040-rp2040-rpipico,356780,12032,9720
2025-07-09 17:51:28 +0000,f6239d0,stm32duino-STM32F1-mapleMini,61036,1272,3336
2025-09-02 18:53:33 +0000,f7612e9,arduino-avr-mega,66394,1958,2107
2025-06-26 12:30:05 +0000,fbdf960,arduino-avr-mega,67332,2010,2157
