time,commit,platform,text,data,bss
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,21446,334,759
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,21446,334,759
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,21446,334,759
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,21446,334,759
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,49045,136,7692
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,23396,390,771
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,20275,100,884
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,33504,164,3372
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,36564,156,3492
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,861472,12,178508
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,43440,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,47216,656,4484
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,21446,334,759
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,129548,12584,119480
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,98376,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,108984,0,39932
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,21695,110,1003
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,55548,252,14048
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,30900,0,3268
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,34524,176,3652
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,215005,100752,6081
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,279619,1552,26616
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,329768,12032,8108
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,31564,1272,1712
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,31040,10944,14656
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,21446,334,759
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,49045,136,7692
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,23396,390,771
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,20275,100,884
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,861472,12,178508
2025-01-05 19:01:43 +0000,49f21cc,adafruit-nrf52-feather52832,43440,536,49128
2025-01-05 19:01:43 +0000,49f21cc,adafruit-samd-adafruit_feather_m0,47216,656,4484
2025-01-05 17:43:45 +0000,49f21cc,arduino-avr-mega,21446,334,759
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,129548,12584,119480
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,98376,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,108984,0,39932
2025-01-05 19:01:43 +0000,49f21cc,arduino-megaavr-uno2018,21695,110,1003
2025-01-05 19:01:43 +0000,49f21cc,arduino-renesas_uno-minima,55548,252,14048
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,30900,0,3268
2025-01-05 19:01:43 +0000,49f21cc,arduino-samd-arduino_zero_native,34524,176,3652
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,215005,100752,6081
2025-01-05 19:01:43 +0000,49f21cc,esp8266-esp8266-generic,279619,1552,26616
2025-01-05 19:01:43 +0000,49f21cc,rp2040-rp2040-rpipico,329768,12032,8108
2025-01-05 19:01:43 +0000,49f21cc,stm32duino-STM32F1-mapleMini,31564,1272,1712
2025-01-05 19:01:43 +0000,49f21cc,teensy-avr-teensy41,31040,10944,14656
2025-01-05 14:43:42 +0000,5239952,arduino-avr-mega,21446,334,759
2025-01-04 14:16:31 +0000,5952106,arduino-avr-mega,21446,334,759
2025-01-05 14:37:13 +0000,66e276b,arduino-avr-mega,21446,334,759
2025-01-03 18:20:44 +0000,680e88c,arduino-avr-mega,21446,334,759
2025-01-03 18:36:28 +0000,7141d26,arduino-avr-mega,21446,334,759
2025-01-04 15:29:55 +0000,a3782b4,arduino-avr-mega,21446,334,759
2025-01-05 09:10:39 +0000,a63ca70,arduino-avr-mega,21446,334,759
2025-01-01 13:23:19 +0000,bd4ede2,arduino-avr-mega,21452,334,759
2025-01-05 16:32:17 +0000,cbb8d41,arduino-avr-mega,21446,334,759
2025-01-05 20:49:24 +0000,d26b1ff,CubeCell-CubeCell-CubeCell-Board,49045,136,7692
2025-01-05 20:49:24 +0000,d26b1ff,MegaCore-avr-1281,23396,390,771
2025-01-05 20:49:24 +0000,d26b1ff,MegaCoreX-megaavr-4809,20275,100,884
2025-01-05 20:49:24 +0000,d26b1ff,SiliconLabs-silabs-xg24explorerkit,861472,12,178508
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-nrf52-feather52832,43440,536,49128
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-samd-adafruit_feather_m0,47216,656,4484
2025-01-05 20:49:24 +0000,d26b1ff,arduino-avr-mega,21446,334,759
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-envie_m4,129548,12584,119480
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-nano33ble,98376,3624,258520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed_rp2040-pico,108984,0,39932
2025-01-05 20:49:24 +0000,d26b1ff,arduino-megaavr-uno2018,21695,110,1003
2025-01-05 20:49:24 +0000,d26b1ff,arduino-renesas_uno-minima,55548,252,14048
2025-01-05 20:49:24 +0000,d26b1ff,arduino-sam-arduino_due_x,30900,0,3268
2025-01-05 20:49:24 +0000,d26b1ff,arduino-samd-arduino_zero_native,34524,176,3652
2025-01-05 20:49:24 +0000,d26b1ff,esp32-esp32-esp32,215005,100752,6081
2025-01-05 20:49:24 +0000,d26b1ff,esp8266-esp8266-generic,279619,1552,26616
2025-01-05 20:49:24 +0000,d26b1ff,rp2040-rp2040-rpipico,329768,12032,8108
2025-01-05 20:49:24 +0000,d26b1ff,stm32duino-STM32F1-mapleMini,31564,1272,1712
2025-01-05 20:49:24 +0000,d26b1ff,teensy-avr-teensy41,31040,10944,14656
