time,commit,platform,text,data,bss
2025-03-02 19:35:16 +0000,01d1bda,arduino-avr-mega,21074,390,763
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,20584,348,759
2025-10-25 19:49:30 +0000,0273939,arduino-avr-mega,21226,398,762
2025-01-14 07:15:22 +0000,04b9687,arduino-avr-mega,20584,348,759
2025-09-22 19:45:29 +0000,05ba4e1,arduino-avr-mega,21226,398,762
2025-05-31 08:48:11 +0000,06af9a8,arduino-avr-mega,21062,390,762
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,20584,348,759
2025-06-30 10:36:48 +0000,073e57c,arduino-avr-mega,21062,390,762
2025-03-03 07:48:45 +0000,08e0c0e,arduino-avr-mega,21074,390,763
2025-01-18 17:43:47 +0000,0cd69b2,arduino-avr-mega,20584,348,759
2025-11-10 19:38:18 +0000,0d9ee43,arduino-avr-mega,21226,398,762
2025-04-15 16:24:54 +0000,13ad2f6,arduino-avr-mega,21062,390,762
2025-03-06 20:12:37 +0000,15745bb,arduino-avr-mega,21074,390,763
2025-03-08 12:18:50 +0000,1b62bc3,arduino-avr-mega,21074,390,763
2025-05-08 15:20:40 +0000,1dae175,arduino-avr-mega,21062,390,762
2025-10-21 19:31:38 +0000,1de9837,arduino-avr-mega,21226,398,762
2025-07-21 05:14:37 +0000,1dfd194,arduino-avr-mega,21054,394,762
2025-06-14 20:44:04 +0000,20d0f58,arduino-avr-mega,21062,390,762
2025-06-30 13:35:30 +0000,227e40b,arduino-avr-mega,21062,390,762
2025-02-05 19:52:26 +0000,2550fae,arduino-avr-mega,20932,352,761
2025-01-30 21:55:04 +0000,27653e1,arduino-avr-mega,20634,348,759
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,20584,348,759
2025-09-18 16:38:26 +0000,28707e8,arduino-avr-mega,21142,396,762
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,20584,348,759
2025-09-21 07:47:01 +0000,2a2f6e0,CubeCell-CubeCell-CubeCell-Board,48917,136,7692
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCore-avr-1281,22590,428,774
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCoreX-megaavr-4809,19874,94,887
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-GenF3,32860,164,3372
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-Nucleo_64,36128,156,3492
2025-09-21 07:47:01 +0000,2a2f6e0,SiliconLabs-silabs-xg24explorerkit,921680,3924,257780
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-nrf52-feather52832,41928,532,49132
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-samd-adafruit_feather_m0,46616,656,4484
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-avr-mega,21226,398,762
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-envie_m4,129220,12584,119480
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-nano33ble,98016,3624,258520
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed_rp2040-pico,108518,0,39924
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-megaavr-uno2018,21442,104,1006
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-renesas_uno-minima,55344,252,14048
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-sam-arduino_due_x,28988,0,3268
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-samd-arduino_zero_native,28232,176,3652
2025-09-21 07:47:01 +0000,2a2f6e0,esp32-esp32-esp32,214465,101572,6089
2025-09-21 07:47:01 +0000,2a2f6e0,esp8266-esp8266-generic,279203,1552,26616
2025-09-21 07:47:01 +0000,2a2f6e0,rp2040-rp2040-rpipico,330360,12032,8124
2025-09-21 07:47:01 +0000,2a2f6e0,stm32duino-STM32F1-mapleMini,30892,1272,1712
2025-09-21 07:47:01 +0000,2a2f6e0,teensy-avr-teensy41,30016,10944,14656
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,48701,136,7692
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,22128,404,771
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,19348,100,884
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,32932,164,3372
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,35992,156,3492
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,861032,12,178508
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,42960,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,46632,656,4484
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,20584,348,759
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,129020,12584,119480
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,97904,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,108520,0,39932
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,20838,110,1003
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,55020,252,14048
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,29092,0,3268
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,33972,176,3652
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,214441,100700,6081
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,279027,1552,26616
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,329464,12032,8108
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,30972,1272,1712
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,30016,10944,14656
2025-08-12 16:09:50 +0000,2d51048,arduino-avr-mega,21138,394,762
2025-05-04 17:15:02 +0000,3002cdf,arduino-avr-mega,21062,390,762
2025-09-17 05:40:12 +0000,3220774,arduino-avr-mega,21142,396,762
2025-05-06 11:50:56 +0000,32642b7,arduino-avr-mega,21062,390,762
2025-07-01 18:16:58 +0000,32c3570,arduino-avr-mega,21062,390,762
2025-09-17 05:09:39 +0000,334c003,arduino-avr-mega,21142,396,762
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,20584,348,759
2025-02-02 08:44:18 +0000,33fd649,arduino-avr-mega,20634,348,759
2025-02-14 21:13:09 +0000,35059a8,arduino-avr-mega,20932,344,761
2025-09-17 15:54:05 +0000,37ed8f5,arduino-avr-mega,21142,396,762
2025-11-11 20:29:26 +0000,3a5dac0,arduino-avr-mega,21226,398,762
2025-08-24 18:31:49 +0000,3d94858,arduino-avr-mega,21138,394,762
2025-08-28 07:44:49 +0000,42c3b2e,arduino-avr-mega,21138,394,762
2025-02-05 22:03:15 +0000,45de797,arduino-avr-mega,20932,352,761
2025-01-19 17:40:36 +0000,4733fdd,arduino-avr-mega,20584,348,759
2025-06-21 17:21:19 +0000,48a863d,CubeCell-CubeCell-CubeCell-Board,48797,136,7692
2025-06-21 17:21:19 +0000,48a863d,MegaCore-avr-1281,22498,412,774
2025-06-21 17:21:19 +0000,48a863d,MegaCoreX-megaavr-4809,19734,94,887
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-GenF3,32672,164,3372
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-Nucleo_64,35948,156,3492
2025-06-21 17:21:19 +0000,48a863d,SiliconLabs-silabs-xg24explorerkit,861016,12,178536
2025-06-21 17:21:19 +0000,48a863d,adafruit-nrf52-feather52832,41560,532,49132
2025-06-21 17:21:19 +0000,48a863d,adafruit-samd-adafruit_feather_m0,46528,656,4484
2025-06-21 17:21:19 +0000,48a863d,arduino-avr-mega,21062,390,762
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-envie_m4,129180,12584,119480
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-nano33ble,97984,3624,258520
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed_rp2040-pico,108414,0,39924
2025-06-21 17:21:19 +0000,48a863d,arduino-megaavr-uno2018,21298,104,1006
2025-06-21 17:21:19 +0000,48a863d,arduino-renesas_uno-minima,55104,252,14048
2025-06-21 17:21:19 +0000,48a863d,arduino-sam-arduino_due_x,28836,0,3268
2025-06-21 17:21:19 +0000,48a863d,arduino-samd-arduino_zero_native,28132,176,3652
2025-06-21 17:21:19 +0000,48a863d,esp32-esp32-esp32,214421,101332,6089
2025-06-21 17:21:19 +0000,48a863d,esp8266-esp8266-generic,279107,1552,26616
2025-06-21 17:21:19 +0000,48a863d,rp2040-rp2040-rpipico,328672,12032,8116
2025-06-21 17:21:19 +0000,48a863d,stm32duino-STM32F1-mapleMini,30732,1272,1712
2025-06-21 17:21:19 +0000,48a863d,teensy-avr-teensy41,30016,10944,14656
2025-10-19 18:32:37 +0000,494c666,arduino-avr-mega,21226,398,762
2025-06-16 07:00:53 +0000,494cfb6,arduino-avr-mega,21062,390,762
2025-05-29 19:17:48 +0000,49d340e,arduino-avr-mega,21062,390,762
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,48701,136,7692
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,22128,404,771
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,19348,100,884
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,861032,12,178508
