time,commit,platform,text,data,bss
2025-03-02 19:35:16 +0000,01d1bda,arduino-avr-mega,38972,646,826
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,36380,590,818
2025-10-25 19:49:30 +0000,0273939,arduino-avr-mega,40478,650,826
2025-01-14 07:15:22 +0000,04b9687,arduino-avr-mega,36380,590,818
2025-09-22 19:45:29 +0000,05ba4e1,arduino-avr-mega,39624,648,826
2025-05-31 08:48:11 +0000,06af9a8,arduino-avr-mega,38998,646,826
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,36380,590,818
2025-06-30 10:36:48 +0000,073e57c,arduino-avr-mega,38938,640,826
2025-03-03 07:48:45 +0000,08e0c0e,arduino-avr-mega,38972,646,826
2025-01-18 17:43:47 +0000,0cd69b2,arduino-avr-mega,38064,602,818
2025-11-10 19:38:18 +0000,0d9ee43,arduino-avr-mega,40478,650,826
2025-04-15 16:24:54 +0000,13ad2f6,arduino-avr-mega,38958,646,826
2025-03-06 20:12:37 +0000,15745bb,arduino-avr-mega,38972,646,826
2025-03-08 12:18:50 +0000,1b62bc3,arduino-avr-mega,38972,646,826
2025-05-08 15:20:40 +0000,1dae175,arduino-avr-mega,38958,646,826
2025-10-21 19:31:38 +0000,1de9837,arduino-avr-mega,40160,650,826
2025-07-21 05:14:37 +0000,1dfd194,arduino-avr-mega,38964,644,826
2025-06-14 20:44:04 +0000,20d0f58,arduino-avr-mega,38998,646,826
2025-06-30 13:35:30 +0000,227e40b,arduino-avr-mega,38938,640,826
2025-02-05 19:52:26 +0000,2550fae,arduino-avr-mega,38748,608,824
2025-01-30 21:55:04 +0000,27653e1,arduino-avr-mega,38094,602,818
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,36380,590,818
2025-09-18 16:38:26 +0000,28707e8,arduino-avr-mega,39248,646,826
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,36380,590,818
2025-09-21 07:47:01 +0000,2a2f6e0,CubeCell-CubeCell-CubeCell-Board,61733,136,7780
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCore-avr-1281,42308,804,836
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCoreX-megaavr-4809,38306,94,951
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-GenF3,44092,164,3460
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-Nucleo_64,47368,156,3580
2025-09-21 07:47:01 +0000,2a2f6e0,SiliconLabs-silabs-xg24explorerkit,932552,3924,257780
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-nrf52-feather52832,55868,532,49132
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-samd-adafruit_feather_m0,58920,656,4564
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-avr-mega,39624,648,826
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-envie_m4,141384,12584,119568
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-nano33ble,109608,3624,258520
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed_rp2040-pico,120651,0,40004
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-megaavr-uno2018,39762,104,1070
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-renesas_uno-minima,66852,252,14136
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-sam-arduino_due_x,42716,0,3356
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-samd-arduino_zero_native,46776,176,3740
2025-09-21 07:47:01 +0000,2a2f6e0,esp32-esp32-esp32,226017,102172,6177
2025-09-21 07:47:01 +0000,2a2f6e0,esp8266-esp8266-generic,293467,1552,26712
2025-09-21 07:47:01 +0000,2a2f6e0,rp2040-rp2040-rpipico,341932,12032,8208
2025-09-21 07:47:01 +0000,2a2f6e0,stm32duino-STM32F1-mapleMini,43396,1272,1800
2025-09-21 07:47:01 +0000,2a2f6e0,teensy-avr-teensy41,41280,11968,14720
2026-01-03 15:54:51 +0000,2c187e7,arduino-avr-mega,40828,658,826
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,61517,136,7764
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,40880,754,828
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,35294,100,943
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,44596,164,3452
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,47404,156,3564
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,872432,12,178580
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,58028,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,58728,656,4548
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,36380,590,818
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,141744,12584,119560
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,110008,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,120417,0,40004
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,36630,110,1062
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,67064,252,14124
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,42724,0,3344
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,46548,176,3732
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,226689,101236,6161
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,293459,1552,26688
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,340696,12032,8180
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,43396,1272,1792
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,43328,11968,14720
2025-08-12 16:09:50 +0000,2d51048,arduino-avr-mega,38964,644,826
2025-05-04 17:15:02 +0000,3002cdf,arduino-avr-mega,38958,646,826
2025-09-17 05:40:12 +0000,3220774,arduino-avr-mega,38832,646,826
2025-05-06 11:50:56 +0000,32642b7,arduino-avr-mega,38958,646,826
2025-07-01 18:16:58 +0000,32c3570,arduino-avr-mega,38938,640,826
2025-09-17 05:09:39 +0000,334c003,arduino-avr-mega,38820,646,826
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,36380,590,818
2025-02-02 08:44:18 +0000,33fd649,arduino-avr-mega,38244,604,818
2025-02-14 21:13:09 +0000,35059a8,arduino-avr-mega,38748,600,824
2025-09-17 15:54:05 +0000,37ed8f5,arduino-avr-mega,39248,646,826
2025-11-11 20:29:26 +0000,3a5dac0,arduino-avr-mega,40478,650,826
2025-08-24 18:31:49 +0000,3d94858,arduino-avr-mega,38964,644,826
2025-08-28 07:44:49 +0000,42c3b2e,arduino-avr-mega,38964,644,826
2025-02-05 22:03:15 +0000,45de797,arduino-avr-mega,38748,608,824
2025-01-19 17:40:36 +0000,4733fdd,arduino-avr-mega,38064,602,818
2025-06-21 17:21:19 +0000,48a863d,CubeCell-CubeCell-CubeCell-Board,61149,136,7780
2025-06-21 17:21:19 +0000,48a863d,MegaCore-avr-1281,41484,782,836
2025-06-21 17:21:19 +0000,48a863d,MegaCoreX-megaavr-4809,37644,94,951
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-GenF3,43544,164,3460
2025-06-21 17:21:19 +0000,48a863d,STMicroelectronics-stm32-Nucleo_64,46820,156,3580
2025-06-21 17:21:19 +0000,48a863d,SiliconLabs-silabs-xg24explorerkit,871536,12,178620
2025-06-21 17:21:19 +0000,48a863d,adafruit-nrf52-feather52832,57236,532,49132
2025-06-21 17:21:19 +0000,48a863d,adafruit-samd-adafruit_feather_m0,58392,656,4564
2025-06-21 17:21:19 +0000,48a863d,arduino-avr-mega,38938,640,826
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-envie_m4,140940,12584,119568
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed-nano33ble,109176,3624,258520
2025-06-21 17:21:19 +0000,48a863d,arduino-mbed_rp2040-pico,120079,0,40004
2025-06-21 17:21:19 +0000,48a863d,arduino-megaavr-uno2018,39108,104,1070
2025-06-21 17:21:19 +0000,48a863d,arduino-renesas_uno-minima,66256,252,14136
2025-06-21 17:21:19 +0000,48a863d,arduino-sam-arduino_due_x,42124,0,3356
2025-06-21 17:21:19 +0000,48a863d,arduino-samd-arduino_zero_native,46208,176,3740
2025-06-21 17:21:19 +0000,48a863d,esp32-esp32-esp32,225545,101932,6177
2025-06-21 17:21:19 +0000,48a863d,esp8266-esp8266-generic,292971,1552,26712
2025-06-21 17:21:19 +0000,48a863d,rp2040-rp2040-rpipico,339820,12032,8200
2025-06-21 17:21:19 +0000,48a863d,stm32duino-STM32F1-mapleMini,42804,1272,1800
2025-06-21 17:21:19 +0000,48a863d,teensy-avr-teensy41,42304,11968,14720
2025-10-19 18:32:37 +0000,494c666,arduino-avr-mega,39624,648,826
2025-06-16 07:00:53 +0000,494cfb6,arduino-avr-mega,38998,646,826
2025-05-29 19:17:48 +0000,49d340e,arduino-avr-mega,38998,646,826
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,61517,136,7764
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,40880,754,828
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,35294,100,943
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,872432,12,178580
2025-01-05 19:01:43 +0000,49f21cc,adafruit-nrf52-feather52832,58028,536,49128
2025-01-05 19:01:43 +0000,49f21cc,adafruit-samd-adafruit_feather_m0,58728,656,4548
2025-01-05 17:43:45 +0000,49f21cc,arduino-avr-mega,36380,590,818
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,141744,12584,119560
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,110008,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,120417,0,40004
2025-01-05 19:01:43 +0000,49f21cc,arduino-megaavr-uno2018,36630,110,1062
2025-01-05 19:01:43 +0000,49f21cc,arduino-renesas_uno-minima,67064,252,14124
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,42724,0,3344
2025-01-05 19:01:43 +0000,49f21cc,arduino-samd-arduino_zero_native,46548,176,3732
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,226689,101236,6161
2025-01-05 19:01:43 +0000,49f21cc,esp8266-esp8266-generic,293459,1552,26688
2025-01-05 19:01:43 +0000,49f21cc,rp2040-rp2040-rpipico,340696,12032,8180
2025-01-05 19:01:43 +0000,49f21cc,stm32duino-STM32F1-mapleMini,43396,1272,1792
2025-01-05 19:01:43 +0000,49f21cc,teensy-avr-teensy41,43328,11968,14720
2025-02-15 14:06:49 +0000,4a557f5,arduino-avr-mega,38742,600,824
