time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,24274,428,762
2025-03-02 19:35:16 +0000,01d1bda,arduino-avr-mega,23918,408,761
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,22112,362,757
2025-10-25 19:49:30 +0000,0273939,arduino-avr-mega,24254,416,762
2025-01-14 07:15:22 +0000,04b9687,arduino-avr-mega,22112,362,757
2025-09-22 19:45:29 +0000,05ba4e1,arduino-avr-mega,24254,416,762
2025-05-31 08:48:11 +0000,06af9a8,arduino-avr-mega,24062,408,762
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,22112,362,757
2025-06-30 10:36:48 +0000,073e57c,arduino-avr-mega,24062,408,762
2026-01-31 17:18:29 +0000,08a7853,arduino-avr-mega,24264,426,762
2025-03-03 07:48:45 +0000,08e0c0e,arduino-avr-mega,23918,408,761
2025-01-18 17:43:47 +0000,0cd69b2,arduino-avr-mega,23480,364,757
2026-02-19 20:37:07 +0000,0d3a63c,CubeCell-CubeCell-CubeCell-Board,49581,136,7692
2026-02-19 20:37:07 +0000,0d3a63c,MegaCore-avr-1281,25394,566,774
2026-02-19 20:37:07 +0000,0d3a63c,MegaCoreX-megaavr-4809,22837,94,887
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-GenF3,34420,164,3380
2026-02-19 20:37:07 +0000,0d3a63c,STMicroelectronics-stm32-Nucleo_64,38064,156,3492
2026-02-19 20:37:07 +0000,0d3a63c,SiliconLabs-silabs-xg24explorerkit,923112,3924,257780
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-nrf52-feather52832,43304,532,49132
2026-02-19 20:37:07 +0000,0d3a63c,adafruit-samd-adafruit_feather_m0,48472,656,4508
2026-02-19 20:37:07 +0000,0d3a63c,arduino-avr-mega,24252,426,762
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-envie_m4,130920,12584,119488
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed-nano33ble,99544,3624,258520
2026-02-19 20:37:07 +0000,0d3a63c,arduino-mbed_rp2040-pico,110051,0,39924
2026-02-19 20:37:07 +0000,0d3a63c,arduino-megaavr-uno2018,24449,104,1006
2026-02-19 20:37:07 +0000,0d3a63c,arduino-renesas_uno-minima,57020,252,14052
2026-02-19 20:37:07 +0000,0d3a63c,arduino-sam-arduino_due_x,31932,0,3272
2026-02-19 20:37:07 +0000,0d3a63c,arduino-samd-arduino_zero_native,30724,176,3660
2026-02-19 20:37:07 +0000,0d3a63c,esp32-esp32-esp32,215641,107072,6089
2026-02-19 20:37:07 +0000,0d3a63c,esp8266-esp8266-generic,281203,1552,26624
2026-02-19 20:37:07 +0000,0d3a63c,rp2040-rp2040-rpipico,330304,12032,7480
2026-02-19 20:37:07 +0000,0d3a63c,stm32duino-STM32F1-mapleMini,32580,1272,1720
2026-02-19 20:37:07 +0000,0d3a63c,teensy-avr-teensy41,32064,11968,14656
2025-11-10 19:38:18 +0000,0d9ee43,arduino-avr-mega,24254,416,762
2026-02-01 20:38:35 +0000,10e0eb2,arduino-avr-mega,24264,426,762
2026-02-12 18:44:18 +0000,116d975,arduino-avr-mega,24252,426,762
2025-04-15 16:24:54 +0000,13ad2f6,arduino-avr-mega,24062,408,762
2025-03-06 20:12:37 +0000,15745bb,arduino-avr-mega,23918,408,761
2025-03-08 12:18:50 +0000,1b62bc3,arduino-avr-mega,23918,408,761
2026-02-01 10:24:12 +0000,1c5b02e,arduino-avr-mega,24264,426,762
2026-02-15 13:09:36 +0000,1d68c76,arduino-avr-mega,24252,426,762
2025-05-08 15:20:40 +0000,1dae175,arduino-avr-mega,24062,408,762
2025-10-21 19:31:38 +0000,1de9837,arduino-avr-mega,24254,416,762
2025-07-21 05:14:37 +0000,1dfd194,arduino-avr-mega,24082,412,762
2025-06-14 20:44:04 +0000,20d0f58,arduino-avr-mega,24062,408,762
2025-06-30 13:35:30 +0000,227e40b,arduino-avr-mega,24062,408,762
2025-02-05 19:52:26 +0000,2550fae,arduino-avr-mega,23778,368,759
2025-01-30 21:55:04 +0000,27653e1,arduino-avr-mega,23480,364,757
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,22112,362,757
2025-09-18 16:38:26 +0000,28707e8,arduino-avr-mega,24170,414,762
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,22112,362,757
2025-09-21 07:47:01 +0000,2a2f6e0,CubeCell-CubeCell-CubeCell-Board,49549,136,7692
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCore-avr-1281,25410,560,774
2025-09-21 07:47:01 +0000,2a2f6e0,MegaCoreX-megaavr-4809,22837,94,887
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-GenF3,34364,164,3380
2025-09-21 07:47:01 +0000,2a2f6e0,STMicroelectronics-stm32-Nucleo_64,37660,156,3492
2025-09-21 07:47:01 +0000,2a2f6e0,SiliconLabs-silabs-xg24explorerkit,923104,3924,257780
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-nrf52-feather52832,43288,532,49132
2025-09-21 07:47:01 +0000,2a2f6e0,adafruit-samd-adafruit_feather_m0,48408,656,4484
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-avr-mega,24254,416,762
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-envie_m4,130840,12584,119488
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed-nano33ble,99528,3624,258520
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-mbed_rp2040-pico,110017,0,39924
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-megaavr-uno2018,24449,104,1006
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-renesas_uno-minima,56944,252,14052
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-sam-arduino_due_x,31868,0,3272
2025-09-21 07:47:01 +0000,2a2f6e0,arduino-samd-arduino_zero_native,30700,176,3660
2025-09-21 07:47:01 +0000,2a2f6e0,esp32-esp32-esp32,215617,101804,6089
2025-09-21 07:47:01 +0000,2a2f6e0,esp8266-esp8266-generic,281171,1552,26624
2025-09-21 07:47:01 +0000,2a2f6e0,rp2040-rp2040-rpipico,331744,12032,8124
2025-09-21 07:47:01 +0000,2a2f6e0,stm32duino-STM32F1-mapleMini,32524,1272,1720
2025-09-21 07:47:01 +0000,2a2f6e0,teensy-avr-teensy41,32064,10944,14656
2026-01-03 15:54:51 +0000,2c187e7,arduino-avr-mega,24268,424,762
2026-02-17 14:52:42 +0000,2c48700,arduino-avr-mega,24252,426,762
2025-01-06 18:35:34 +0000,2ca2ddf,CubeCell-CubeCell-CubeCell-Board,50229,136,7692
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCore-avr-1281,24784,522,769
2025-01-06 18:35:34 +0000,2ca2ddf,MegaCoreX-megaavr-4809,20873,100,882
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-GenF3,34876,164,3372
2025-01-06 18:35:34 +0000,2ca2ddf,STMicroelectronics-stm32-Nucleo_64,37864,156,3492
2025-01-06 18:35:34 +0000,2ca2ddf,SiliconLabs-silabs-xg24explorerkit,862952,12,178504
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-nrf52-feather52832,43424,536,49128
2025-01-06 18:35:34 +0000,2ca2ddf,adafruit-samd-adafruit_feather_m0,47840,656,4484
2025-01-06 17:18:04 +0000,2ca2ddf,arduino-avr-mega,22112,362,757
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-envie_m4,131080,12584,119480
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed-nano33ble,99904,3624,258520
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-mbed_rp2040-pico,109441,0,39924
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-megaavr-uno2018,22365,110,1001
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-renesas_uno-minima,57072,252,14048
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-sam-arduino_due_x,32300,0,3268
2025-01-06 18:35:34 +0000,2ca2ddf,arduino-samd-arduino_zero_native,35600,176,3652
2025-01-06 18:35:34 +0000,2ca2ddf,esp32-esp32-esp32,216201,100916,6081
2025-01-06 18:35:34 +0000,2ca2ddf,esp8266-esp8266-generic,281363,1552,26616
2025-01-06 18:35:34 +0000,2ca2ddf,rp2040-rp2040-rpipico,331124,12032,8104
2025-01-06 18:35:34 +0000,2ca2ddf,stm32duino-STM32F1-mapleMini,32964,1272,1712
2025-01-06 18:35:34 +0000,2ca2ddf,teensy-avr-teensy41,32064,10944,14656
2025-08-12 16:09:50 +0000,2d51048,arduino-avr-mega,24164,412,762
2025-05-04 17:15:02 +0000,3002cdf,arduino-avr-mega,24062,408,762
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,49605,136,7692
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,25422,572,774
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,22857,94,887
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,34428,164,3380
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,38068,156,3492
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,923128,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,43320,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,48448,656,4484
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,24274,428,762
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,130928,12584,119488
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,99552,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,110069,0,39924
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,24469,104,1006
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,57040,252,14052
